匹配分,推荐等级,变化,赛道,公司,岗位,城市,部门,届别,招聘类型,发布时间,截止时间,首次发现,最后发现,投递链接,匹配理由
38,低匹配,持续招聘,AI / 互联网,阿里巴巴,阿里云管培生-商业技术方向 展开详情 更新于 2026-09-01 销售类 北京 / 杭州 / 上海 / 深圳 在招业务 阿里云,上海 / 深圳 / 杭州 / 北京,,,,,,2026-09-18 15:11,2026-09-26 10:33,https://campus-talent.alibaba.com/campus/position/199907780029?deptCodes=,符合2027届/校园招聘身份；意向城市：上海
28,低匹配,信息更新,新能源 / 高端制造,奇瑞汽车,全球数字化智能中心 共30个职位,广州,,,,,,2026-09-21 10:20,2026-09-26 10:33,https://chery.zhiye.com/campus/jobs?2=%5B%7B%22id%22%3A%2272%22%2C%22label%22%3A%22%E5%85%A8%E7%90%83%E6%95%B0%E5%AD%97%E5%8C%96%E6%99%BA%E8%83%BD%E4%B8%AD%E5%BF%83%22%7D%5D,对应经历：Python/SQL数据分析与AI工具应用；对应经历：10余项招投标、预算复核与成本节约；相关能力词：数字化；未明确标注2027届，需复核；意向城市：广州；可发挥数据与AI应用能力
28,低匹配,信息更新,新能源 / 高端制造,奇瑞汽车,全球物流事业部 共33个职位,广州,,,,,,2026-09-18 15:11,2026-09-26 10:33,https://chery.zhiye.com/campus/jobs?2=%5B%7B%22id%22%3A%2241%22%2C%22label%22%3A%22%E5%85%A8%E7%90%83%E7%89%A9%E6%B5%81%E4%BA%8B%E4%B8%9A%E9%83%A8%22%7D%5D,对应经历：Python/SQL数据分析与AI工具应用；对应经历：10余项招投标、预算复核与成本节约；相关能力词：数字化；未明确标注2027届，需复核；意向城市：广州；可发挥数据与AI应用能力
28,低匹配,持续招聘,新能源 / 高端制造,奇瑞汽车,数字化智能中心 共30个职位,广州,,,,,,2026-09-18 15:11,2026-09-19 10:13,https://chery.zhiye.com/campus/jobs?2=%5B%7B%22id%22%3A%2272%22%2C%22label%22%3A%22%E6%95%B0%E5%AD%97%E5%8C%96%E6%99%BA%E8%83%BD%E4%B8%AD%E5%BF%83%22%7D%5D,对应经历：Python/SQL数据分析与AI工具应用；对应经历：10余项招投标、预算复核与成本节约；相关能力词：数字化；未明确标注2027届，需复核；意向城市：广州；可发挥数据与AI应用能力
24,低匹配,持续招聘,新能源 / 高端制造,特斯拉中国,供应链 共30个职位,,,,,,,2026-09-25 10:29,2026-09-26 10:33,https://app.mokahr.com/social-recruitment/tesla/46129?locale=zh-CN#/jobs?zhineng%5B0%5D=66985,岗位核心词：供应链；相关能力词：交付；未明确标注2027届，需复核
8,低匹配,持续招聘,AI / 互联网,阿里巴巴,User Operations- Forward Youth Program (TH/ID/VN/MY/PH) 展开详情 更新于 2026-09-08 运营类 杭州 在招业务 阿里国际数字商业集团,杭州,,,,,,2026-09-18 15:11,2026-09-26 10:33,https://campus-talent.alibaba.com/campus/position/199907640029?deptCodes=,未明确标注2027届，需复核；意向城市：杭州
8,低匹配,持续招聘,AI / 互联网,阿里巴巴,供应链运营-俄语 展开详情 更新于 2026-08-31 运营类 杭州 在招业务 阿里国际数字商业集团,杭州,,,,,,2026-09-18 15:11,2026-09-26 10:33,https://campus-talent.alibaba.com/campus/position/199909220002?deptCodes=,未明确标注2027届，需复核；意向城市：杭州
8,低匹配,持续招聘,AI / 互联网,阿里巴巴,风险策略分析师 展开详情 更新于 2026-08-28 风险管理类 杭州 在招业务 阿里国际数字商业集团,杭州,,,,,,2026-09-18 15:11,2026-09-26 10:33,https://campus-talent.alibaba.com/campus/position/199909260001?deptCodes=,未明确标注2027届，需复核；意向城市：杭州
6,低匹配,持续招聘,新能源 / 高端制造,特斯拉中国,销售/交付 共252个职位,,,,,,,2026-09-25 10:29,2026-09-26 10:33,https://app.mokahr.com/social-recruitment/tesla/46129?locale=zh-CN#/jobs?zhineng%5B0%5D=73319,相关能力词：交付；未明确标注2027届，需复核
6,低匹配,持续招聘,新能源 / 高端制造,特斯拉中国,产品研发创新中心 共78个职位,,,,,,,2026-09-24 10:12,2026-09-26 10:33,https://app.mokahr.com/social-recruitment/tesla/46129?locale=zh-CN#/jobs?zhineng%5B0%5D=51956,相关能力词：交付；未明确标注2027届，需复核
6,低匹配,持续招聘,新能源 / 高端制造,远景动力,仓储物流类 共0个职位,,,,,,,2026-09-18 15:11,2026-09-26 10:33,https://aesc-group.zhiye.com/campus/jobs?1=%5B%7B%22id%22%3A%225%22%2C%22label%22%3A%22%E4%BB%93%E5%82%A8%E7%89%A9%E6%B5%81%E7%B1%BB%22%7D%5D,相关能力词：运营；未明确标注2027届，需复核
6,低匹配,持续招聘,新能源 / 高端制造,远景动力,生产运营类 共0个职位,,,,,,,2026-09-18 15:11,2026-09-26 10:33,https://aesc-group.zhiye.com/campus/jobs?1=%5B%7B%22id%22%3A%224%22%2C%22label%22%3A%22%E7%94%9F%E4%BA%A7%E8%BF%90%E8%90%A5%E7%B1%BB%22%7D%5D,相关能力词：运营；未明确标注2027届，需复核
0,低匹配,持续招聘,AI / 互联网,京东,首页 招聘职位 招聘动态 人才项目 关于京东 登录,,,,,,,2026-09-18 15:11,2026-09-26 10:33,https://campus.jd.com/#/jobs,未明确标注2027届，需复核
0,低匹配,持续招聘,零售 / 食品饮料,农夫山泉/养生堂,市场品牌类 共3个职位,,,,,,,2026-09-18 15:11,2026-09-26 10:33,https://app.mokahr.com/campus-recruitment/yst/68367?sourceToken=300d8e619a9064f2f0b3573441f3bf8f#/jobs?zhineng%5B0%5D=137380&zhineng%5B1%5D=191690,未明确标注2027届，需复核
0,低匹配,持续招聘,零售 / 食品饮料,农夫山泉/养生堂,校园招聘 首页 社会招聘 职位列表 人才项目 校招Q&A 关于我们 登录,,,,校园招聘,,,2026-09-18 15:11,2026-09-26 10:33,https://app.mokahr.com/campus-recruitment/yst/68367?sourceToken=300d8e619a9064f2f0b3573441f3bf8f#/jobs,符合2027届/校园招聘身份；排除风险：社会招聘
0,低匹配,持续招聘,AI / 互联网,字节跳动,产品与技术,,,,校园招聘,,,2026-09-18 15:11,2026-09-26 10:33,https://jobs.bytedance.com/campus/page-AgCQiO,符合2027届/校园招聘身份；排除风险：社会招聘
0,低匹配,持续招聘,AI / 互联网,字节跳动,校招 首页 技术人才项目 职位 招聘动态 产品与技术 成长与回报 社会招聘 登录,,,,校园招聘,,,2026-09-18 15:11,2026-09-26 10:33,https://jobs.bytedance.com/,符合2027届/校园招聘身份；排除风险：社会招聘
0,低匹配,持续招聘,AI / 互联网,字节跳动,校招 首页 技术人才项目 职位 招聘动态 产品与技术 成长与回报 社会招聘 登录,,,,校园招聘,,,2026-09-18 15:11,2026-09-26 10:33,https://jobs.bytedance.com/campus/position,符合2027届/校园招聘身份；排除风险：社会招聘
0,低匹配,持续招聘,AI / 互联网,字节跳动,校招 首页 技术人才项目 职位 招聘动态 产品与技术 成长与回报 社会招聘 登录,,,,校园招聘,,,2026-09-18 15:11,2026-09-26 10:33,https://jobs.bytedance.com/campus,符合2027届/校园招聘身份；排除风险：社会招聘
0,低匹配,持续招聘,AI / 互联网,字节跳动,校招 首页 技术人才项目 职位 招聘动态 产品与技术 成长与回报 社会招聘 登录,,,,校园招聘,,,2026-09-18 15:11,2026-09-26 10:33,https://jobs.bytedance.com/campus/page-6272Gc,符合2027届/校园招聘身份；排除风险：社会招聘
0,低匹配,持续招聘,AI / 互联网,字节跳动,校招 首页 技术人才项目 职位 招聘动态 产品与技术 成长与回报 社会招聘 登录,,,,校园招聘,,,2026-09-18 15:11,2026-09-26 10:33,https://jobs.bytedance.com/campus/page-3pEJ9S,符合2027届/校园招聘身份；排除风险：社会招聘
0,低匹配,持续招聘,AI / 互联网,字节跳动,校招 首页 技术人才项目 职位 招聘动态 产品与技术 成长与回报 社会招聘 登录,,,,校园招聘,,,2026-09-18 15:11,2026-09-26 10:33,https://jobs.bytedance.com/campus/login,符合2027届/校园招聘身份；排除风险：社会招聘
0,低匹配,持续招聘,新能源 / 高端制造,小米集团/小米汽车,投递须知 小米集团2027届全球校园招聘计划 查看详情,,,2027,校园招聘,,,2026-09-18 15:11,2026-09-26 10:33,https://hr.xiaomi.com/website/campus-notice.html#id=13,符合2027届/校园招聘身份；学历要求可能不适配
0,低匹配,持续招聘,新能源 / 高端制造,小米集团/小米汽车,投递须知 小米集团2027届新零售招聘计划 查看详情,,,2027,校园招聘,,,2026-09-18 15:11,2026-09-26 10:33,https://hr.xiaomi.com/website/campus-notice.html#id=2,符合2027届/校园招聘身份；学历要求可能不适配
0,低匹配,持续招聘,新能源 / 高端制造,小米集团/小米汽车,投递须知 小米集团顶尖应届生计划 查看详情,,,2027,校园招聘,,,2026-09-18 15:11,2026-09-26 10:33,https://hr.xiaomi.com/website/campus-notice.html#id=4,符合2027届/校园招聘身份；学历要求可能不适配
0,低匹配,持续招聘,新能源 / 高端制造,小米集团/小米汽车,招聘项目,,,,,,,2026-09-18 15:11,2026-09-26 10:33,https://hr.xiaomi.com/website/campus.html#programs,未明确标注2027届，需复核
0,低匹配,持续招聘,新能源 / 高端制造,小米集团/小米汽车,招聘项目 宣讲会行程,,,,,,,2026-09-18 15:11,2026-09-26 10:33,https://hr.xiaomi.com/website/campus.html#schedule,未明确标注2027届，需复核
0,低匹配,持续招聘,AI / 互联网,美团,首页 LongCat人才招聘 北斗计划 社会招聘 校园招聘 美团赛事 了解美团 Global Careers 登录,,,,校园招聘,,,2026-09-18 15:11,2026-09-26 10:33,https://zhaopin.meituan.com/web/campus,符合2027届/校园招聘身份；排除风险：社会招聘
